project.repo,project.url,project.id,project.name,project.source,project.packageManager,project.targetFile,issue.url,issue.id,issue.title,issue.type,issue.package,issue.version,issue.severity,issue.originalSeverity,issue.uniqueSeveritiesList,issue.language,issue.packageManager,issue.semver,issue.publicationTime,issue.disclosureTime,issue.isUpgradable,issue.isPatchable,issue.isPinnable,issue.identifiers,issue.credit,issue.CVSSv3,issue.cvssScore,issue.patches,issue.exploitMaturity,issue.reachability,issue.priorityScore,issue.jiraIssueUrl,issue.isFixed,issue.introducedDate
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/npm:ejs:20161128,npm:ejs:20161128,Arbitrary Code Execution,vuln,ejs,0.8.8,high,,['high'],js,npm,{'vulnerable': ['<2.5.3']},2016-11-28T18:44:12.000Z,2016-11-27T22:00:00.000Z,False,False,False,"{'CVE': ['CVE-2017-1000228'], 'CWE': ['CWE-94'], 'ALTERNATIVE': ['SNYK-JS-EJS-10218']}",['Snyk Security Research Team'],CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,"[{'id': 'patch:npm:ejs:20161128:0', 'urls': ['https://snyk-patches.s3.amazonaws.com/npm/ejs/20161128/ejs_20161128_0_0_3d447c5a335844b25faec04b1132dbc721f9c8f6.patch'], 'version': '<2.5.3 >=2.2.4', 'comments': [], 'modificationTime': '2019-12-03T11:40:45.851976Z'}]",no-known-exploit,No path found,405,,False,2021-01-21
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-EJS-1049328,SNYK-JS-EJS-1049328,Arbitrary Code Injection,vuln,ejs,0.8.8,medium,,['medium'],js,npm,{'vulnerable': ['<3.1.6']},2021-01-20T16:41:56.000Z,2020-12-09T11:56:29.000Z,False,False,False,"{'CVE': [], 'CWE': ['CWE-94']}",['fangzequn'],CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:L/I:L/A:L/E:P/RL:U/RC:C,4.1,[],proof-of-concept,No path found,526,,False,2021-01-21
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-UNDERSCORE-1080984,SNYK-JS-UNDERSCORE-1080984,Arbitrary Code Injection,vuln,underscore,1.9.1,low,,['low'],js,npm,"{'vulnerable': ['>=1.13.0-0 <1.13.0-2', '>=1.3.2 <1.12.1']}",2021-03-29T14:54:59.000Z,2021-03-02T19:51:03.000Z,True,False,False,"{'CVE': ['CVE-2021-23358'], 'CWE': ['CWE-94']}",['Alessio Della Libera (@d3lla)'],CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:U/C:L/I:L/A:N/E:P/RL:O/RC:C,3.3,[],proof-of-concept,No path found,486,,False,2021-03-30
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-LODASH-1040724,SNYK-JS-LODASH-1040724,Command Injection,vuln,lodash,4.17.20,high,,['high'],js,npm,{'vulnerable': ['<4.17.21']},2021-02-15T11:50:50.000Z,2020-11-17T13:02:10.000Z,True,False,False,"{'CVE': ['CVE-2021-23337'], 'CWE': ['CWE-78']}",['Marc Hassan'],CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H/E:P/RL:U/RC:C,7.2,[],proof-of-concept,No path found,681,,False,2021-02-15
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/npm:ejs:20161130,npm:ejs:20161130,Cross-site Scripting (XSS),vuln,ejs,0.8.8,medium,,['medium'],js,npm,{'vulnerable': ['<2.5.5']},2016-12-06T15:00:00.000Z,2016-11-27T22:00:00.000Z,False,False,False,"{'CVE': ['CVE-2017-1000188'], 'CWE': ['CWE-79'], 'ALTERNATIVE': ['SNYK-JS-EJS-10225']}",['Snyk Security Research Team'],CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N,5.9,[],no-known-exploit,No path found,295,,False,2021-01-21
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/npm:ejs:20161130-1,npm:ejs:20161130-1,Denial of Service (DoS),vuln,ejs,0.8.8,medium,,['medium'],js,npm,{'vulnerable': ['<2.5.5']},2016-12-06T15:00:00.000Z,2016-11-27T22:00:00.000Z,False,False,False,"{'CVE': ['CVE-2017-1000189'], 'CWE': ['CWE-400'], 'ALTERNATIVE': ['SNYK-JS-EJS-10226']}",['Snyk Security Research Team'],CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,5.9,[],no-known-exploit,No path found,295,,False,2021-01-21
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-ADMZIP-1065796,SNYK-JS-ADMZIP-1065796,Directory Traversal,vuln,adm-zip,0.4.11,high,,['high'],js,npm,{'vulnerable': ['<0.5.2']},2021-02-15T17:04:18.109Z,2021-01-28T07:59:22.000Z,True,False,False,"{'CVE': [], 'CWE': ['CWE-22']}",['cthackers'],CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,7.4,[],no-known-exploit,No path found,584,,False,2021-02-15
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-DUSTJSLINKEDIN-1089257,SNYK-JS-DUSTJSLINKEDIN-1089257,Prototype Pollution,vuln,dustjs-linkedin,2.7.5,high,,['high'],js,npm,{'vulnerable': ['*']},2021-04-26T16:18:43.000Z,2021-03-26T13:19:46.000Z,False,False,False,"{'CVE': [], 'CWE': ['CWE-1321']}",['baiyecha404'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:L/E:P/RL:U/RC:R,8.6,[],proof-of-concept,No path found,609,,False,2021-04-26
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-INI-1048974,SNYK-JS-INI-1048974,Prototype Pollution,vuln,ini,1.3.5,high,,['high'],js,npm,{'vulnerable': ['<1.3.6']},2020-12-10T18:08:38.000Z,2020-12-08T13:02:04.000Z,True,False,False,"{'CVE': ['CVE-2020-7788'], 'CWE': ['CWE-400'], 'GHSA': ['GHSA-qqgx-2p2h-9c37']}","['Eugene Lim', 'Government Technology Agency Cyber Security Group']",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L/E:P,7.3,[],proof-of-concept,No path found,472,,False,2021-01-21
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-MINIMIST-559764,SNYK-JS-MINIMIST-559764,Prototype Pollution,vuln,minimist,1.2.0,medium,,['medium'],js,npm,"{'vulnerable': ['<0.2.1', '>=1.0.0 <1.2.3']}",2020-03-11T08:22:19.000Z,2020-03-10T08:22:24.000Z,True,False,False,"{'CVE': ['CVE-2020-7598'], 'CWE': ['CWE-400'], 'NSP': [1179], 'GHSA': ['GHSA-vh95-rmgr-6w4m']}",['Snyk Security Team'],CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L/E:P/RL:O/RC:C,5.6,[],proof-of-concept,No path found,387,,False,2021-01-21
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-MONGOOSE-1086688,SNYK-JS-MONGOOSE-1086688,Prototype Pollution,vuln,mongoose,5.11.7,medium,,['medium'],js,npm,{'vulnerable': ['<5.12.2']},2021-03-24T15:13:10.931Z,2021-03-18T13:23:15.000Z,True,False,False,"{'CVE': [], 'CWE': ['CWE-1321']}","['zpbrent(zhou', 'peng@shu)']",CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:L/E:P/RL:O/RC:C,5.6,[],proof-of-concept,No path found,601,,False,2021-03-24
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-MQUERY-1089718,SNYK-JS-MQUERY-1089718,Prototype Pollution,vuln,mquery,3.2.3,high,,['high'],js,npm,{'vulnerable': ['<3.2.5']},2021-03-30T14:57:04.262Z,2021-03-30T09:50:31.000Z,True,False,False,"{'CVE': [], 'CWE': ['CWE-1321']}",['zhou peng (@zpbrent)'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:P/RL:O,7.5,[],proof-of-concept,No path found,696,,False,2021-03-31
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-GLOBPARENT-1016905,SNYK-JS-GLOBPARENT-1016905,Regular Expression Denial of Service (ReDoS),vuln,glob-parent,2.0.0,medium,,['medium'],js,npm,{'vulnerable': ['<5.1.2']},2021-01-12T15:00:42.000Z,2021-01-12T12:42:32.000Z,False,False,False,"{'CVE': ['CVE-2020-28469'], 'CWE': ['CWE-400']}",['Yeting Li'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,[],no-known-exploit,No path found,265,,False,2021-01-26
mrzarquon/goof-zero,https://snyk.io/org/angrydome/project/2e291a40-e38a-4e48-af50-ebaeb9e53b62,2e291a40-e38a-4e48-af50-ebaeb9e53b62,mrzarquon/goof-zero,github,npm,package.json,https://snyk.io/vuln/SNYK-JS-HIGHLIGHTJS-1048676,SNYK-JS-HIGHLIGHTJS-1048676,Regular Expression Denial of Service (ReDoS),vuln,highlight.js,10.4.0,medium,,['medium'],js,npm,{'vulnerable': ['>=9.0.0 <10.4.1']},2020-12-06T16:34:07.195Z,2020-12-04T16:47:20.000Z,True,False,False,"{'CVE': [], 'CWE': ['CWE-400'], 'GHSA': ['GHSA-7wwv-vh3v-89cq']}",['Unknown'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,[],no-known-exploit,No path found,265,,False,2021-01-21
